# m	b	logf
-9.806128174858856905e-01	4.219656481089749001e+00	-8.564400546263429836e-01
-9.332759414683403643e-01	3.803659681024719852e+00	-9.323223387601742296e-01
-1.008790923348263036e+00	4.444076218113182541e+00	-9.487720023994818952e-01
-9.312872595021119970e-01	3.872531856506358228e+00	-1.122393925596970377e+00
-9.878611789384263986e-01	3.944635413294836468e+00	-9.495616163945019839e-01
-9.499278382920834929e-01	3.982564142954129416e+00	-9.380637873517000402e-01
-9.163637965597194457e-01	3.966058187528080925e+00	-9.260433977096638181e-01
-1.077627382993948224e+00	4.586364930302053722e+00	-9.978817613602234404e-01
-9.573996534003996750e-01	4.053724583401881354e+00	-9.798164372135703681e-01
-8.338894919896980840e-01	3.469294681604431219e+00	-8.466337550503481024e-01
-9.561431671045449443e-01	4.224818115872901458e+00	-8.182968133660448729e-01
-1.030537919807829050e+00	4.143415039936657607e+00	-8.452190348337261794e-01
-9.892335823368660908e-01	4.237472709755730982e+00	-7.605338025976277061e-01
-9.043786246309113430e-01	3.823220007182224212e+00	-7.400440332924578257e-01
-8.483280580020652328e-01	3.457049998035567118e+00	-9.825423390166143633e-01
-8.299083343620319297e-01	3.453621857418137431e+00	-2.344497668043498129e-01
-8.778632990250918589e-01	3.690945194683613373e+00	-7.459994683887241074e-01
-9.596585653215475853e-01	4.108947283861330568e+00	-8.732990684180182983e-01
-7.763771388405010798e-01	3.365893141753537154e+00	-3.791277251858904407e-01
-1.045619720933983920e+00	4.434122363127713129e+00	-1.016099650405430488e+00
-9.690061471347916067e-01	4.131744201672448824e+00	-6.391076143213163530e-01
-7.242859259141500861e-01	3.116296258636317873e+00	-5.653608589506313731e-01
-9.329423049571905491e-01	3.877607884876679289e+00	-9.444002973923616429e-01
-9.586193551950182856e-01	4.113479117079570813e+00	-7.344349713976304761e-01
-1.019026709625834970e+00	4.579344696220659650e+00	-6.956613820241155377e-01
-8.527915582836513853e-01	3.505983989210311069e+00	-7.179167146914620101e-01
-9.531796872386305575e-01	4.122693166554769029e+00	-7.769190006105397561e-01
-1.085404820730970554e+00	4.689841944728276424e+00	-8.787844898234304925e-01
-8.999583274878985018e-01	3.706078438871507341e+00	-8.183126280687191834e-01
-8.363272447950542698e-01	3.389072125669272850e+00	-7.593446768575821126e-01
-1.037007220683563880e+00	4.425467159361081926e+00	-6.590609711487650513e-01
-9.937893692839503412e-01	4.222673969053233556e+00	-9.030520220429425482e-01
-9.931615928999820708e-01	4.264764648614321807e+00	-9.295717008879369470e-01
-9.249261085347902922e-01	3.807360891019893945e+00	-9.147834474568780072e-01
-1.014766979988919626e+00	4.412077289896156884e+00	-1.032648705474726425e+00
-9.127131604732443559e-01	3.908486285554846784e+00	-9.308879597906460912e-01
-8.915762121074871649e-01	3.585432591493229015e+00	-9.141560722763349967e-01
-9.177738891960462997e-01	3.956214259290020685e+00	-9.424653253892654181e-01
-8.234796918743052530e-01	3.383932300567651374e+00	-7.449055663330302890e-01
-8.614814942573248979e-01	3.645570168244463893e+00	-6.499836674032709594e-01
-8.684400267664191819e-01	3.534753895802125623e+00	-7.451395831723350849e-01
-8.460146816805979020e-01	3.567061711498097143e+00	-8.371631473296849979e-01
-9.240243505710041827e-01	4.011625204495659958e+00	-9.407130741699771814e-01
-9.452056769791800095e-01	3.888772688018693913e+00	-7.902843685227367576e-01
-9.196131919030247071e-01	3.760830253653950184e+00	-9.375342176357286395e-01
-8.709285655547572835e-01	3.683150637418810991e+00	-7.475794530837214236e-01
-8.254773799133775514e-01	3.425364517110542906e+00	-7.751584403602134188e-01
-9.065028346528239966e-01	3.813183715756932379e+00	-7.018485758245037731e-01
-8.014440388407634286e-01	3.387103351186067535e+00	-5.334858728430936781e-01
-1.013816258241432289e+00	4.367886746029872924e+00	-9.191948802173246502e-01
-1.018290829374014717e+00	4.407806311059420779e+00	-6.846699220092389293e-01
-1.108592031047527016e+00	4.789822847143628159e+00	-1.033100394254631293e+00
-8.046986893623646608e-01	3.404197285697405206e+00	-6.654240811494904762e-01
-7.996423935687015927e-01	3.425359879193012436e+00	-6.549720773247211802e-01
-9.376013035637933424e-01	3.988592481234608300e+00	-1.008356537480807891e+00
-9.223694606195084189e-01	3.852507650418928620e+00	-7.223882486849118045e-01
-1.038622117822222801e+00	4.489298836706810292e+00	-8.309783501660354954e-01
-1.055367021571263386e+00	4.415935549542180816e+00	-8.096276006681348836e-01
-8.018599448914727201e-01	3.385826056863900924e+00	-6.943950985282325572e-01
-1.064234907223320370e+00	4.562126055351710008e+00	-8.308638389042615202e-01
-1.051845619829266720e+00	4.635508494533456592e+00	-6.363342324576194420e-01
-9.319943093279295931e-01	3.937979060610083515e+00	-6.730480780341248082e-01
-9.873782396517624127e-01	4.101146587168437385e+00	-9.276526104976701159e-01
-1.035180480140290182e+00	4.457734161300905384e+00	-7.842014228804651266e-01
-9.745597827643421862e-01	4.208466218016738480e+00	-8.445351512523130433e-01
-9.835784195354503323e-01	4.078684811942435040e+00	-8.406925177056240317e-01
-9.406522481872879871e-01	3.973374607898561006e+00	-8.275606940407479462e-01
-8.384626056600246180e-01	3.568607869435689750e+00	-8.639914413160785234e-01
-9.578476385657306302e-01	4.171916002989849659e+00	-9.103093334921794622e-01
-9.933758644698338358e-01	4.258013287722959284e+00	-1.192760319434229555e+00
-8.756054383282827480e-01	3.557185840077436545e+00	-6.841531488271080930e-01
-9.320588260345569198e-01	3.989815024578410529e+00	-7.267363313046313333e-01
-8.890367515034286461e-01	3.707058541895318360e+00	-6.857649050936096558e-01
-8.816737560444799504e-01	3.612323696337893075e+00	-8.306417513748864945e-01
