# m	b	logf
-1.069320168520498271e+00	4.643599533000328350e+00	-8.765281330561288664e-01
-9.237844739175852249e-01	4.143667397391401330e+00	-7.764467885008875525e-01
-9.996774935042059829e-01	4.518096095300858650e+00	-8.511808812832174498e-01
-9.942149237353374858e-01	4.485664611785164624e+00	-6.360869536307521832e-01
-1.154019132181514529e+00	5.150660073370987746e+00	-6.351442272495712027e-01
-9.272073021295393902e-01	4.149270787537853167e+00	-7.428548678202845368e-01
-9.039603349391857057e-01	3.971300009152952004e+00	-5.537927922427429150e-01
-9.865564563569105827e-01	4.429242256300875979e+00	-8.411172301694619380e-01
-1.078338167802771030e+00	4.864586160958578986e+00	-6.138506341717260284e-01
-9.164305011322133598e-01	4.111014670424577133e+00	-7.656013201387286138e-01
-9.459679686958987199e-01	4.313595425702024144e+00	-3.910120707931302730e-01
-1.006441975642388575e+00	4.405052762965411262e+00	-6.456174149090943004e-01
-9.087187742039354310e-01	4.141637699079628199e+00	-3.679372193520995538e-01
-9.674951790466492785e-01	4.294698625296985206e+00	-8.252712336998471176e-01
-9.823948245175996297e-01	4.369377655856035325e+00	-8.450688464887912144e-01
-9.293784654759014163e-01	3.932897848994900691e+00	-6.838035564056781368e-01
-1.134757286505466700e+00	4.815684709181662804e+00	-8.019361947692653647e-01
-9.311439809004875556e-01	4.198970186282824812e+00	-4.331304189476823385e-01
-9.393936435131524654e-01	4.209429098181614926e+00	-7.098988647484065773e-01
-9.281083557231345482e-01	4.013102901730490224e+00	-7.223457513018461951e-01
-1.030929790619645736e+00	4.602754213952676920e+00	-7.508543149808938333e-01
-9.637744623716331116e-01	4.204377853778868079e+00	-6.764248637666736563e-01
-8.695997231631540370e-01	3.942950073429231317e+00	-7.251769337737588028e-01
-9.087981355457865895e-01	4.089614296115254177e+00	-6.258851792182460461e-01
-9.241242829240835510e-01	4.004295221812207650e+00	-7.380972649783685835e-01
-1.093110779597061599e+00	4.983794882592613718e+00	-7.201622091653521185e-01
-1.017914897746643454e+00	4.530103360239179366e+00	-6.820102539375267892e-01
-9.728538581890830983e-01	4.436260364435942627e+00	-6.072984534382510624e-01
-9.866828677168529849e-01	4.251463448822274671e+00	-6.733435798665752259e-01
-1.108453454806297422e+00	4.783285443540696846e+00	-5.101797769842024710e-01
