# m	b	logf
-9.043562891958031313e-01	4.048323372150113286e+00	-4.794852770954536325e-01
-1.110620917287810538e+00	4.929683339111165630e+00	-7.567803260361614104e-01
-1.009864266169445912e+00	4.640179608788399079e+00	-7.502428295886864884e-01
-1.062948093064435051e+00	4.881688397390904655e+00	-7.523341114838651977e-01
-1.001378216311358038e+00	4.485921210416090155e+00	-6.701953916812894985e-01
-1.055477720787053375e+00	4.729266241040492424e+00	-8.585424200736877509e-01
-1.056039303879920510e+00	4.706147080369354363e+00	-8.742006590388307075e-01
-1.002430582677053428e+00	4.549135052049688710e+00	-4.941954920358258563e-01
-1.050321364873783692e+00	4.622407600028950903e+00	-6.472112409898462815e-01
-1.054849011271754566e+00	4.769479112879682958e+00	-8.405966628661472040e-01
-1.001084267390420557e+00	4.594306336549766279e+00	-4.405680059067045296e-01
-9.992308772808434769e-01	4.483635415909999367e+00	-7.835540173817852061e-01
-8.481210396961673670e-01	3.897279710552913112e+00	-5.821520002353368639e-01
-9.744492759423135642e-01	4.489161231070040614e+00	-6.124306711574833972e-01
-1.100751025503022396e+00	5.086093373142750451e+00	-4.509827091909772712e-01
-1.048968049757178944e+00	4.614904202873134409e+00	-6.343845904087128673e-01
-8.776458620493365892e-01	3.921125141577299633e+00	-3.765235588264022049e-01
-1.041957757439632370e+00	4.627432419153807430e+00	-7.998701132189682816e-01
-1.214519206730734435e+00	5.414732818839276263e+00	-5.920023439325809989e-01
-9.476059690475151509e-01	4.281491535663037418e+00	-5.432382213478837985e-01
-9.499675179369894140e-01	4.376046342895958396e+00	-6.259033529028951159e-01
-8.196469601302536212e-01	3.703459917810144830e+00	-4.764834555121770787e-01
-9.764450536427699001e-01	4.598008602262363631e+00	-5.126264818024753867e-01
-9.954967143009108010e-01	4.509537681896934380e+00	-6.916738416665089151e-01
-1.078856326834666479e+00	4.814277950460599698e+00	-7.315379259574139592e-01
-1.173862319362958706e+00	5.300700018872770869e+00	-3.890344039065060100e-01
-1.057398735654672794e+00	4.760129507022551110e+00	-5.880840631179663491e-01
-1.203128358294619948e+00	5.323821366056622928e+00	-8.618404331334604818e-01
-9.581310397351291419e-01	4.229786517260491152e+00	-5.738551560591068634e-01
-1.044564651376392206e+00	4.461310669897722292e+00	-6.336167703229007575e-01
-9.614749052754381076e-01	4.084589168282141358e+00	-4.818768345914652418e-01
-1.097899695751046512e+00	4.868733693685523001e+00	-7.890763069178327038e-01
-1.067620474512227968e+00	4.607882453376189957e+00	-7.392397346351162746e-01
-1.081373962271876765e+00	4.832175500414164659e+00	-7.258236066276596565e-01
-9.482122468280943517e-01	4.461758463846029699e+00	-5.719616593036009888e-01
-1.103315121829254508e+00	4.946510851745768100e+00	-8.121239642535833525e-01
-9.066641212708363984e-01	4.105037171684541519e+00	-6.566922912414024927e-01
-1.131526096231566747e+00	5.152599929865156803e+00	-6.556539005189130354e-01
-9.758925243864825516e-01	4.382506663644479161e+00	-7.504145343769027532e-01
-9.793543668914466149e-01	4.536891472128446345e+00	-4.618767224563035678e-01
-1.112309802522211566e+00	4.841884947442258280e+00	-7.523042374349373507e-01
-1.047272457611166496e+00	4.707719228731687799e+00	-6.659781596893747935e-01
-9.414801383456992134e-01	4.355467172801462894e+00	-4.534920043042903193e-01
-1.099241947756528948e+00	4.851316975258056274e+00	-5.945305918363813502e-01
-8.801789601697230792e-01	3.965640417409554086e+00	-5.702675076682257593e-01
-1.045547702244263188e+00	4.708530599061911737e+00	-5.558508560035311241e-01
-1.039440395670109041e+00	4.811359330776251220e+00	-4.339979691790122884e-01
-1.013950466283080942e+00	4.448771539539337461e+00	-5.664487422808704986e-01
-9.963194797345782394e-01	4.508641832385619885e+00	-2.575382884450151955e-01
-1.038998633157096396e+00	4.665534799151232370e+00	-5.822107005807386493e-01
-1.059804804966326452e+00	4.800741333111841591e+00	-8.845536561156466249e-01
-7.066385216872884678e-01	3.118794447981712459e+00	1.690957422557504142e-02
-1.061224434912791947e+00	4.933159964501709460e+00	-6.965891390220858570e-01
-8.611758788272156906e-01	3.724295697181072562e+00	-3.114284540574751015e-01
-8.743187384714240507e-01	3.959879853957207096e+00	-5.835775649155314770e-01
-9.954009844350142355e-01	4.416891800361852027e+00	-6.372985921470984971e-01
-1.072818015888906018e+00	4.750473029537604752e+00	-5.546177863781764916e-01
-1.022267361232467309e+00	4.580959756561107987e+00	-5.021032097183167897e-01
-1.029650834446532048e+00	4.590999018825081102e+00	-5.799084158079456097e-01
-9.054214766386861069e-01	4.234700176055160803e+00	-3.617914569274430225e-01
-8.350829319555592711e-01	3.813671311431184208e+00	-3.647866669015635832e-01
-1.032914305885734629e+00	4.573312317038489283e+00	-5.650896149343881403e-01
-9.520151677005344037e-01	4.304701067361586198e+00	-5.365472305670216935e-01
