# m	b	logf
-1.131333132463633540e+00	5.142699214401265095e+00	-8.315723419213087997e-01
-9.686923532706693818e-01	4.251015733888453774e+00	-6.162268791553051628e-01
-1.044195909325092986e+00	4.730941393703952613e+00	-5.338753687268934511e-01
-9.327442684572284648e-01	4.031398947640693287e+00	-4.589493707857908444e-01
-9.463439702569871326e-01	4.132305878448840453e+00	-3.636975977359024337e-01
-1.078028680126078998e+00	4.787673116886773883e+00	-7.114742711518763363e-01
-9.398059494913050260e-01	4.124994024462895759e+00	-5.858664903600806495e-01
-1.074082037972751813e+00	4.725236209983660451e+00	-5.877890670832640607e-01
-9.911126090580129055e-01	4.287431155129379334e+00	-5.641841125480293595e-01
-1.060001420329128807e+00	4.643104770070921816e+00	-6.979217306016506361e-01
-9.337975061520454867e-01	4.029848150432744802e+00	-4.163855139089640556e-01
-9.592574977248834456e-01	4.366802326830021563e+00	-4.070053568342280603e-01
-1.076059524887769792e+00	4.730862959551317637e+00	-7.541159003637496472e-01
-9.912950710745193073e-01	4.404433809714793924e+00	-6.505605878206088821e-01
-7.726800815013177282e-01	3.474285511632901002e+00	-2.833800262678159432e-01
-9.164209822277892270e-01	4.040276286738610168e+00	-4.975883517716042648e-01
-9.862592643008849524e-01	4.511364662335262565e+00	-7.037222611100268921e-01
-1.049773945097596028e+00	4.962681656597548674e+00	-3.858716527564595711e-01
-1.139624972472583764e+00	4.968432481092690089e+00	-7.245628164941434468e-01
-9.946074822572548157e-01	4.495522158713725069e+00	-5.688181415498276827e-01
-1.007436915856964710e+00	4.431506659139271775e+00	-5.608102101879376411e-01
-1.028831422383804206e+00	4.728303069030558525e+00	-7.505738751850434820e-01
-8.373773856964390472e-01	3.682946540228765109e+00	-2.473281653697533833e-01
-1.102064585721022727e+00	4.721374149265731290e+00	-6.267669012114250870e-01
-1.064974624625019128e+00	4.639680929182500080e+00	-7.401609865724905202e-01
-1.080713066449016324e+00	4.771172900303657372e+00	-5.539036227547085023e-01
-1.065894981259890351e+00	4.437229326890145487e+00	-5.509499117315759253e-01
-1.004891328987048027e+00	4.269837654371902325e+00	-5.302545756779862840e-01
-1.180263747316018241e+00	5.094087260822690588e+00	-6.166579140932091363e-01
-1.181583659146324239e+00	5.127060398100777405e+00	-5.289460181825705876e-01
-1.202271651526081175e+00	5.214483123628399497e+00	-6.397602087835705387e-01
-9.194969123837919422e-01	3.996769244442010205e+00	-6.187045854597827965e-01
-1.029483848521455913e+00	4.786130297482607432e+00	-5.670904694941314439e-01
-9.971578775449752019e-01	4.266196037785229045e+00	-6.375068737994777912e-01
-9.091769296778600129e-01	3.936227050794589566e+00	-2.015227936373205075e-01
-9.351365295004361311e-01	4.062028554528168911e+00	-4.068616194411269205e-01
-1.037325154404418637e+00	4.532538829671000080e+00	-4.739616410600978602e-01
-1.142556528383083192e+00	5.017411598898137370e+00	-7.767301258271881448e-01
-1.187570607140773227e+00	5.160511479930174339e+00	-6.067357666300686736e-01
-9.761261252759431128e-01	4.528157698656831265e+00	-2.864357272282073152e-01
-9.312020347295375533e-01	4.106295849870765124e+00	-5.561500692385233924e-01
-1.072895605255774765e+00	4.705804887186854302e+00	-5.987451297359217550e-01
-1.087170496875265790e+00	4.582680767753657847e+00	-2.084078512814832029e-01
-9.136947511417600198e-01	3.999135508310098786e+00	-5.002134191633876847e-01
-9.708379566917210157e-01	4.283897812139863426e+00	-7.705805965959739989e-01
-1.023516431941339899e+00	4.605748967367972568e+00	-6.702657653315093889e-01
-8.301300562296578534e-01	3.878045268589604966e+00	-4.922187377446300971e-01
-9.959323484301980667e-01	4.298611777739128392e+00	-6.491230646617783817e-01
-1.010668313600537438e+00	4.540687778814256781e+00	-7.419057348492648085e-01
-1.117684018247346867e+00	4.764252429994451532e+00	-5.533041919318978374e-01
-1.029254772006440000e+00	4.650257670945370236e+00	-8.155977725288603430e-01
-9.513947215279530134e-01	4.321858788925904804e+00	-5.453960870808913786e-01
-1.126331588726860566e+00	4.910111522051085586e+00	-5.552960761253550315e-01
-1.121884452030768475e+00	5.151686823889036759e+00	-7.091353926745019853e-01
-1.043942919882393294e+00	4.698441415284306366e+00	-5.530226698355769077e-01
-1.115282979513777528e+00	4.902379346215737677e+00	-7.487409443185160107e-01
-1.031576731002050940e+00	4.545983232088100401e+00	-6.505190447923617780e-01
-9.433824950945133292e-01	4.354815839974673253e+00	-3.203589550736786196e-01
-9.667380145559637539e-01	4.116857616247969531e+00	-5.124005286405897142e-01
-9.304757185353802473e-01	4.059494634103876010e+00	-5.236122469879477270e-01
-1.052023336726397584e+00	4.620807631279168604e+00	-5.762015246367394594e-01
-1.171493462941282537e+00	5.097447894857040751e+00	-5.327487767016513276e-01
-1.116329397839765036e+00	4.773439796471310892e+00	-5.239785602001770792e-01
-1.056392946193999594e+00	4.644044135767726011e+00	-6.143283956646470312e-01
-1.161046036590734465e+00	5.377096152426749320e+00	-6.586519560115250416e-01
-9.880619190048215428e-01	4.313702184788127170e+00	-5.608329166528044363e-01
-1.058410452401594926e+00	5.000881508679395182e+00	-3.418223516848424848e-01
-1.103902979922599670e+00	5.037011831539670581e+00	-7.545298640012713109e-01
-1.012088826618938286e+00	4.585041661857310658e+00	-5.974050743056578128e-01
-1.109801609965827218e+00	4.793781482153153917e+00	-7.550537190890023176e-01
-1.081971492927475964e+00	4.766711901405118468e+00	-5.894332263664044946e-01
-1.119800309141935069e+00	5.524435899372642567e+00	-5.235704858309252474e-01
-1.000399353413765180e+00	4.347446492242565519e+00	-6.725574978147895733e-01
-1.048858072818487086e+00	4.742805539726504982e+00	-4.959151622909079848e-01
-9.826037882262144141e-01	4.503136776715068734e+00	-3.249397167198150860e-01
-9.647723102408581886e-01	4.207400348502662091e+00	-4.965894773926004535e-01
-1.019136768598581710e+00	4.473671079271181128e+00	-6.142042801218458026e-01
-9.826578114964135136e-01	4.327574457785289930e+00	-6.286767830641689647e-01
-8.256981669944680746e-01	3.692213459140827325e+00	-3.092588546721725118e-01
-1.086790153643467649e+00	4.585926983983560135e+00	-5.341788478618592073e-01
-1.117335997356142530e+00	4.946206543815749868e+00	-8.176171741413756910e-01
-1.028466278843508608e+00	4.475870454228678241e+00	-7.331451336607841540e-01
-1.174156987378316641e+00	5.234762874653116960e+00	-7.014629896704460688e-01
-1.035651865837438068e+00	4.618068340258509430e+00	-5.659868362729666424e-01
-9.767945569014837570e-01	4.235066873818107425e+00	-3.308444032727817508e-01
-1.213381036486273823e+00	5.590063395215483233e+00	-7.317863305360557957e-01
-1.144923748227046456e+00	5.175064396023079993e+00	-6.578403971882058610e-01
-9.336232811020735989e-01	4.104439971362282336e+00	-4.685798093875349069e-01
-1.028026605133898874e+00	4.515826448507660018e+00	-7.118086285736842100e-01
-1.230852145491724281e+00	5.257672920900118285e+00	-7.447413252973327236e-01
-9.705673571521569176e-01	4.162337598783108383e+00	-5.820317383419203461e-01
-1.052077860015624422e+00	4.819089985940856913e+00	-4.880587879734670786e-01
-1.080061560210405780e+00	4.923005209198684007e+00	-5.110358412270334938e-01
-1.104357079076317083e+00	4.910791087564180479e+00	-5.425546203338997842e-01
