# m	b	logf
-1.020123839602669058e+00	4.616718420930252975e+00	-5.453277013281573327e-01
-8.599864297723420759e-01	3.775264827395382827e+00	-2.822325536826228443e-01
-1.055520654451135965e+00	4.613396538596548524e+00	-5.054005062820058347e-01
-1.139692531870708070e+00	5.090697067370022033e+00	-6.477022215684664630e-01
-7.452592684242174137e-01	3.167141474845702298e+00	-2.687153647630510789e-01
-9.818557713003823739e-01	4.351220061807075545e+00	-5.975996459270279670e-01
-9.481069449011911843e-01	4.167869801081561576e+00	-7.303300042789198088e-01
-8.755804523616667057e-01	3.921727962054345706e+00	-2.745933586209433619e-01
-9.671617586389161803e-01	4.373400672868219097e+00	-4.713380126230929945e-01
-9.211317786658326234e-01	4.126380517328745334e+00	-3.623638054923359331e-01
-9.473277404371233112e-01	4.150461703155546189e+00	-3.037895003096027224e-01
-1.054629060079410152e+00	4.693520184437851128e+00	-4.175129697350472568e-01
-9.918467060933460200e-01	4.608856801108376366e+00	-8.240405030943931397e-02
-1.012087175360994795e+00	4.429540194754332028e+00	-7.248742376557556488e-01
-1.002048406855428953e+00	4.345851830441127106e+00	-4.290247469191450502e-01
-9.008825041084165264e-01	4.143080599715585066e+00	-2.723577309183055628e-01
-7.748589940602879089e-01	3.497053176726933721e+00	-2.258029991201688791e-01
-9.650797739676993947e-01	4.255039173924138218e+00	-5.666891345494876608e-01
-1.001425116004318827e+00	4.399384229035215199e+00	-7.234323481222675323e-01
-1.034031072119216299e+00	4.613996889777109089e+00	-6.689920468294496825e-01
-9.674183809579742777e-01	4.253038238693893192e+00	-4.711690360101699060e-01
-9.851201403153416747e-01	4.455472123930786843e+00	-6.125863943173734949e-01
-1.080125721312285902e+00	4.701281509130613934e+00	-4.760107119120319252e-01
-1.025450738301346254e+00	4.568352201632618126e+00	-5.860302784364812556e-01
-9.845987516201510914e-01	4.330744140419509947e+00	-5.703968245507898827e-01
-9.516528602427122285e-01	4.294916335564307630e+00	-1.804055949722553343e-01
-9.508410817395225312e-01	4.302229725220289680e+00	-3.942238376474776484e-01
-9.797833805137199370e-01	4.362326848635616372e+00	-3.672794481717330251e-01
-9.709836318153578505e-01	4.416476307267340751e+00	-3.770325814821635646e-01
-9.025451822277719138e-01	4.162475198736142801e+00	-4.710467131882603020e-01
-1.076675131335555591e+00	4.829621605849591326e+00	-6.581698508403136527e-01
-1.088168403413398710e+00	4.934538605601247241e+00	-5.705710294477261968e-01
-9.418519208184616964e-01	4.338717628090742906e+00	-5.351384865330455209e-01
-7.546564390036276659e-01	3.338125813627914162e+00	-1.187938009983137144e-01
-1.015164033867838711e+00	4.472667608088740643e+00	-5.809076469889284944e-01
-1.065070922952352284e+00	4.662524181501736642e+00	-5.548155535457299781e-01
-8.586649843900158174e-01	3.893195393214019084e+00	-4.347803603905511238e-01
-8.974175141472310324e-01	4.123236655537162676e+00	-4.954211549336453579e-01
-9.623881910481726365e-01	4.294085246062955719e+00	-6.045931998870669455e-01
-1.025633130369167256e+00	4.458346471666001953e+00	-7.161702453548756120e-01
-9.273590807052514151e-01	4.244792540414879412e+00	-4.787571329463423675e-01
-8.826521695020403957e-01	3.983918262545834477e+00	-2.908554908236040126e-01
-8.548842515524812669e-01	3.791467050398150906e+00	-4.077614133931461438e-01
-9.758703049060974966e-01	4.397840233248895281e+00	-4.209323927339462257e-01
-1.157369364681653856e+00	5.138294436136392029e+00	-3.470394172244646303e-01
-9.837786655381197676e-01	4.345546050555432416e+00	-5.193281354017459384e-01
-1.028917021206904536e+00	4.516313664015143559e+00	-4.983330160965535605e-01
-1.010015589646828138e+00	4.636687031462355613e+00	-5.505145471146535296e-01
-9.633911276079567543e-01	4.242885669914422841e+00	-3.629408502601146891e-01
-9.150849906290949853e-01	4.093841392173374061e+00	-4.405518692809824444e-01
-1.008981541679665694e+00	4.410626819207768889e+00	-7.944645101380993779e-01
-1.204575797014113991e+00	5.275222118307000940e+00	-7.411603710133942702e-01
-8.192833245011952314e-01	3.706998079840345461e+00	-3.005634683556300812e-01
-9.745720157312736109e-01	4.374551735651706075e+00	-8.152550137793592722e-01
-9.757751784241130988e-01	4.210141579911705456e+00	-6.378680867217251249e-01
-9.585997951674508633e-01	4.183810767774343908e+00	-7.452966226548869422e-01
-1.125207562308114584e+00	4.974801913689815613e+00	-7.087430093643062312e-01
-9.867323232581733938e-01	4.415191677604532572e+00	-4.386162152422831140e-01
-1.018001494664928508e+00	4.583205527667906232e+00	-4.710189673627154239e-01
-9.854217309809942815e-01	4.251463429606336497e+00	-5.131796160379922256e-01
