# m	b	logf
-8.924138444656484204e-01	4.054643439288216911e+00	-5.402600259611636258e-01
-9.458636300614914338e-01	4.226724237392404326e+00	-5.314272401414791291e-01
-8.176181261949572177e-01	3.727104815623543121e+00	-3.544973399431959882e-01
-1.100883200607584156e+00	5.125850131871463766e+00	-8.190404520785168341e-01
-7.737345684287764147e-01	3.514944692982432173e+00	-3.489665691945864623e-01
-9.517744567549145662e-01	4.326655283817007813e+00	-4.031796691450821313e-01
-1.027276791603866091e+00	4.767837200523118213e+00	-7.545673293955572625e-01
-9.349120806687295504e-01	4.512332842236114416e+00	-3.252097603016178562e-01
-9.740584763463639995e-01	4.562241039678609056e+00	-7.658093086947687089e-01
-9.247792638280283306e-01	4.135514187384027984e+00	-6.453586700975363355e-01
-9.189488522823974215e-01	4.174373065388058635e+00	-6.512281360354004178e-01
-9.723814655308630206e-01	4.519639007735602121e+00	-5.921701705440209906e-01
-9.198477497397699043e-01	4.292676749496409982e+00	-5.852186859722184886e-01
-9.686869616130530103e-01	4.439417346044397306e+00	-4.741563379062788686e-01
-8.521066612150038910e-01	3.964808210323505833e+00	-5.453185808832370363e-01
-8.906802420992172564e-01	3.973529160611743993e+00	-5.944550448928298536e-01
-1.104236909252593435e+00	4.978105197933174964e+00	-5.786196511077763560e-01
-1.033176473470400092e+00	4.867788255600934200e+00	-7.765728520710930560e-01
-1.109548015611904193e+00	5.204924265917943771e+00	-6.190642174367311235e-01
-7.423564746935974457e-01	3.352143704523827594e+00	-2.482787507212409484e-01
-8.518991073653059409e-01	3.897753089641372792e+00	-3.355041185713855123e-01
-7.434445660520758725e-01	3.297238078921783000e+00	-2.549106557985897914e-01
-1.071763151794620672e+00	4.869767603381930599e+00	-6.031367072839286525e-01
-8.848280465142950302e-01	4.009364369289262875e+00	-4.964703503969828957e-01
-9.186462197224568582e-01	4.157166165508711764e+00	-7.266828756731085193e-01
-8.620694001387561034e-01	3.884122158769257815e+00	-3.883151254608903091e-01
-1.042289132070528979e+00	4.625427446575690382e+00	-7.219145256671475330e-01
-9.825260289012524018e-01	4.349778967865267632e+00	-4.880586409171751572e-01
-8.251657886735210834e-01	3.713971486375426068e+00	-3.226793264023731789e-01
-1.025075493539884919e+00	4.650086978154221562e+00	-6.586942135477568128e-01
-9.096803292417062758e-01	4.115612703370470804e+00	-3.804510914435125790e-01
-1.045627246247682773e+00	4.752605947422436472e+00	-4.938649550206559158e-01
-9.434270311992256630e-01	4.291797803548950796e+00	-6.501380675024642786e-01
-9.831940283212116105e-01	4.440926798153231658e+00	-6.655072080709782956e-01
-9.449388530325198987e-01	4.238418625594011502e+00	-4.993104204462032181e-01
-1.007145100735381105e+00	4.613089373218747014e+00	-6.068989785477656440e-01
-8.192272642081928069e-01	3.702972979186079705e+00	-3.716559971633394688e-01
-8.362329059220049432e-01	3.803274121794220530e+00	-4.094999526371738141e-01
-9.730934941440511077e-01	4.510217195690145786e+00	-3.718775388474780952e-01
-1.041435668314458329e+00	4.928355859579812481e+00	-5.857685823070306608e-01
-8.882782459144538123e-01	4.024339657413952942e+00	-4.954061300076397223e-01
-8.402505997118703274e-01	3.826496019446549823e+00	-5.989747967074325885e-01
-7.486859989801081250e-01	3.409658907356353019e+00	-3.746216759986632505e-01
