# m	b	logf
-8.371719717095963409e-01	3.924986813452577383e+00	-4.250441775130586741e-01
-8.719049534801205370e-01	3.975869398480515127e+00	-6.865287507674381340e-01
-1.168464655731953794e+00	5.389439499154373259e+00	-7.991677008486064437e-01
-9.322658837392584497e-01	4.219689472892627968e+00	-7.068033802668677312e-01
-8.889600325198308006e-01	4.054286010537987650e+00	-7.816109252326403078e-01
-9.071133063182623690e-01	4.164404894353123332e+00	-7.357333110891852712e-01
-1.057729786399145278e+00	4.955440333839589151e+00	-5.357324298610929292e-01
-8.648095718331265669e-01	3.910940170879199762e+00	-4.279548839812392647e-01
-9.013115307953162292e-01	4.173414170219000852e+00	-6.487611367253293126e-01
-9.587905826171712054e-01	4.507587599078608953e+00	-6.822568960863856224e-01
-8.686931913343330924e-01	3.957972092757534366e+00	-5.660092063476702684e-01
-1.007723706519298768e+00	4.726972154912475688e+00	-5.903927248816591700e-01
-1.036441980152830844e+00	4.817036361530109723e+00	-7.544922524521274765e-01
-1.098276654997514701e+00	5.107146577770835805e+00	-6.361182457721293870e-01
-9.517844403488138205e-01	4.375858540954973286e+00	-7.688256966114803692e-01
-9.834309875482664109e-01	4.537332129047847218e+00	-4.291180683796845252e-01
-9.046338373883391348e-01	4.232118443576122324e+00	-7.221682381380674087e-01
-1.014840137094930261e+00	4.729447736090678589e+00	-7.551107286075970926e-01
-9.106657215506382963e-01	4.098328860176748911e+00	-6.570149355961197868e-01
-8.881168183769244662e-01	4.105317586919523976e+00	-6.640876151264817340e-01
-1.083077274221550867e+00	5.044568260890323508e+00	-5.564361135741338060e-01
-8.758543710753745604e-01	3.879578519018199056e+00	-6.843831212745398185e-01
-1.081016988720091332e+00	5.010506233733908132e+00	-9.165763267631932276e-01
-9.204966534873912920e-01	4.106710153823193821e+00	-5.056989501379871577e-01
-9.595362995730266631e-01	4.349683329467534776e+00	-5.490659079196311687e-01
-1.061173634773812324e+00	4.808615898270856448e+00	-6.345949160745489870e-01
-1.010105457812473517e+00	4.829792476156756997e+00	-5.184274678748995724e-01
