# m	b	logf
-8.773991870422575001e-01	3.982906469701650298e+00	-3.670898708325275317e-01
-9.230128868266292974e-01	4.332167258162026080e+00	-5.694655284620655511e-01
-1.021693721908543795e+00	4.745665567288493314e+00	-5.836319172619636175e-01
-8.991502103938995294e-01	4.293610793259905023e+00	-4.175251221276163882e-01
-9.461839244186658338e-01	4.459236455208976047e+00	-6.773638301091481351e-01
-9.326941277611394687e-01	4.343415004485528641e+00	-5.427970509440191993e-01
-8.392774810377718886e-01	3.850857630931832531e+00	-5.173841250739766862e-01
-9.820362093448589125e-01	4.483185705761415285e+00	-5.292257378503687493e-01
-9.262730340726090805e-01	4.269279945053868985e+00	-5.112494383155370414e-01
-9.259737696493456349e-01	4.299457605943229233e+00	-4.577888040394972879e-01
-9.501316564363934125e-01	4.447374157418096274e+00	-5.919731078810422931e-01
-7.968797057140619700e-01	3.716293645555504455e+00	-1.906130038076288002e-01
-8.702711018447784053e-01	4.039342497448078717e+00	-4.317720540057748968e-01
-8.792564488933618527e-01	3.982767210103653532e+00	-2.458527776719297564e-01
-9.699605943038165368e-01	4.635603854646973332e+00	-6.845435967467250471e-01
-9.545832341297557644e-01	4.477523382209032121e+00	-4.924986218197370258e-01
-8.613465146819541118e-01	3.970544688753370188e+00	-6.870622629856875108e-01
-9.712518815416830709e-01	4.496096581804665426e+00	-6.481884785808432747e-01
-9.531935742904543707e-01	4.380132118746952408e+00	-5.687282804524848023e-01
-7.156747963244495248e-01	3.284683610738033721e+00	-3.165864101829395372e-01
-1.114337978476412472e+00	5.082062141403610234e+00	-8.958149834902413566e-01
-8.906653218529329008e-01	4.024007211027526232e+00	-6.031373348114060784e-01
-1.002307275800371933e+00	4.620561589546286818e+00	-5.073433517885266308e-01
-7.965174928139335808e-01	3.611200144277509683e+00	-3.911846663402605562e-01
-8.401186109850724559e-01	3.796679083756887785e+00	-3.897131403608925515e-01
-9.222356118577494932e-01	4.241853651348101550e+00	-5.171295854060762309e-01
-9.956744574716827056e-01	4.719007100171334734e+00	-6.041442291929290942e-01
-1.013352135714492563e+00	4.599922890132545739e+00	-7.805494434994794117e-01
-8.414721841995036478e-01	3.741330531457696118e+00	-5.921582241946861114e-01
-8.649951380061271511e-01	3.919024507132551349e+00	-5.340469317967840857e-01
-1.046160897500209463e+00	4.905281641657971647e+00	-5.284500330350199171e-01
-1.086848875942707293e+00	5.039823503915958902e+00	-7.334174643786471881e-01
-8.704412246651851426e-01	3.951975194528616342e+00	-3.931843233836875839e-01
-9.773950870722515338e-01	4.472935670400374875e+00	-7.358453688743692434e-01
-9.341897204111475617e-01	4.341696279857216290e+00	-3.813665476831705758e-01
-9.235090101856580080e-01	4.300267151465848592e+00	-4.885400371621961835e-01
-1.071341204411322634e+00	4.952958830009896118e+00	-7.450339708735896904e-01
-1.064556822610348785e+00	4.987580795816308310e+00	-5.481175587643269953e-01
-9.332608401267015186e-01	4.391499350433663906e+00	-3.592849632623679179e-01
-9.052780667497943856e-01	4.116363107605993221e+00	-5.629770941069178747e-01
-8.999822251826441466e-01	4.095963275449113539e+00	-4.656868316673778985e-01
-9.568453154612047706e-01	4.391432742172365344e+00	-5.974009494786672869e-01
-8.907874072518614517e-01	4.077833675966870075e+00	-4.079260198645622282e-01
-7.966875468366481083e-01	3.740419240878311680e+00	-3.214080066313713124e-01
-9.232528994402420253e-01	4.278157619015943602e+00	-7.614228497066056756e-01
-9.547761411983094471e-01	4.376437873077239971e+00	-5.696975814738995947e-01
-8.817711963266826602e-01	4.179308966959914606e+00	-5.437528578401019663e-01
-1.037251356547447045e+00	4.943503145555965261e+00	-6.994743034745534160e-01
-8.425783303455253170e-01	3.928554467152495455e+00	-3.818569367325505559e-01
-7.660471009240176210e-01	3.492203784420238932e+00	-3.785907827347134713e-01
-1.003105991824681187e+00	4.556373336176194222e+00	-6.218841121532376892e-01
-8.140300157934731162e-01	3.764471178811795049e+00	-4.193856195357703043e-01
-9.710191322499277522e-01	4.464792550726202514e+00	-6.890209164964335997e-01
-8.601809745567358112e-01	3.910297881273390175e+00	-6.706605802983234277e-01
-9.216728422277562505e-01	4.251259509196886555e+00	-5.449538504701172403e-01
-8.235883309193114954e-01	3.827284522490551399e+00	-3.571393552527435400e-01
-9.354763678468573929e-01	4.303849687959114156e+00	-5.895977343312526209e-01
-9.780160637143727742e-01	4.656478707931811734e+00	-6.045736259763505593e-01
-1.051401821315703033e+00	4.875102929567270316e+00	-6.916172463684681082e-01
-1.005574430612330650e+00	4.619475778582128989e+00	-6.769743163298879152e-01
-9.046698023952052248e-01	4.223440089207816328e+00	-5.564117927598073443e-01
-8.395469875236397650e-01	3.847239385404618517e+00	-5.416763780363279546e-01
-1.023165379880050407e+00	4.750434855964996039e+00	-6.406801054674687856e-01
-8.662182658393334789e-01	4.151057012091239784e+00	-3.299918517774753646e-01
-9.904440219216186225e-01	4.521408606558034116e+00	-6.037599323405431484e-01
-8.696576646265190558e-01	4.145375702918515870e+00	-7.309048176367594074e-01
-9.797717342755100089e-01	4.487573531232557755e+00	-5.846184523520868703e-01
-8.842034217251004691e-01	4.016931439050035912e+00	-5.228621455995992040e-01
-9.629729063335089601e-01	4.465271848759990725e+00	-4.781771049381948191e-01
-9.701790503369849272e-01	4.537665054735440684e+00	-5.770784377281299449e-01
-1.009097087148545846e+00	4.602365831022829923e+00	-7.132087319806214021e-01
-8.889747829333848328e-01	4.061193346599175413e+00	-6.800556470901727435e-01
-9.415277275225873987e-01	4.325391133534171040e+00	-7.035564922217006911e-01
-9.720858413521235031e-01	4.382857484251418079e+00	-6.386828152124114366e-01
-9.930977747011074941e-01	4.544314680226812619e+00	-6.842686351856578364e-01
-8.964841837233639144e-01	4.186019958859832357e+00	-4.171109846994626169e-01
-8.867236844159442910e-01	4.160748802955791525e+00	-5.867940814799763594e-01
-9.004217752142407161e-01	4.146834090536428263e+00	-5.367251793508293067e-01
-9.249640874524506229e-01	4.360773528245045050e+00	-6.654467940466251008e-01
-9.224726096409622267e-01	4.387025194581020138e+00	-5.860020617336969551e-01
-8.419101411258501644e-01	3.865185043126693198e+00	-5.589574858473856933e-01
-9.034345157382401847e-01	4.249856030646998128e+00	-4.066673870254364220e-01
-1.096797689553640209e+00	5.077486599596499950e+00	-5.434241309062847192e-01
-8.639082486564163554e-01	4.236284507996155746e+00	-4.019646432677626002e-01
-9.315512424029284144e-01	4.328180765832906118e+00	-6.331364330785436145e-01
-8.018561762341480659e-01	3.676659173204659847e+00	-7.051626226825091770e-01
-9.433519107030081674e-01	4.364575741878129023e+00	-6.612654520081635567e-01
-9.210678383834755012e-01	4.290801974778127637e+00	-6.401708462684582157e-01
-1.034757693858915584e+00	4.757745435824459967e+00	-6.805081648362129032e-01
-9.569135938016359866e-01	4.444900637698826706e+00	-6.207656788321440633e-01
-9.444533230272382784e-01	4.407708521748991082e+00	-7.149965057903482357e-01
-1.094859466199282538e+00	5.008173322682624828e+00	-7.160888179406178500e-01
-8.656457634067027396e-01	4.077955483661319214e+00	-6.732541924147398271e-01
-8.965457754115363498e-01	4.081194439125487072e+00	-4.819845006991575476e-01
-8.801508223461984581e-01	4.069780653268052717e+00	-4.108901356688431927e-01
-1.047821602603341784e+00	4.845183301031101841e+00	-4.510821291523359755e-01
-9.797718494140863488e-01	4.505713949608806779e+00	-5.278261692455551435e-01
-9.751024237999537103e-01	4.503629286653178632e+00	-7.195758526494855367e-01
-1.062919919364748500e+00	4.961034140202112752e+00	-6.969140138635736559e-01
-9.086062617313030998e-01	4.113169862503545104e+00	-6.429278419615225282e-01
-8.211678394292607486e-01	3.769456790180628403e+00	-4.823512405637270795e-01
-1.086734001681370021e+00	4.974501424940454442e+00	-3.968306718105854003e-01
-9.911059204324931260e-01	4.637535441690052274e+00	-7.930020922787350823e-01
-9.552246973290308141e-01	4.443491217599322418e+00	-6.258551990634910744e-01
-9.395347504729402166e-01	4.339902002406299530e+00	-7.144029091302975809e-01
-9.477408176048410793e-01	4.327067382564763420e+00	-5.504855724958823693e-01
-9.281145143589377700e-01	4.216876441680654786e+00	-7.760913138333525030e-01
-9.765652799188795363e-01	4.529230053592156580e+00	-3.929622057595044682e-01
-1.136297672838447070e+00	5.479227391589549079e+00	-7.905238705380738251e-01
-9.106166898193761572e-01	4.242885675596538952e+00	-6.283104998182124090e-01
-9.496634868774448401e-01	4.473487116654338180e+00	-7.103375984738234949e-01
-1.067591537427996951e+00	5.044296998798103004e+00	-6.551745410910272405e-01
-8.665805338242489331e-01	4.028458256730677256e+00	-4.155244502530264228e-01
